Work,Name,Date,Category,Region,Price (USD)
345,Abstract Composition (Late 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,474.6
346,Girardon’s Equestrian Portrait of Louis XIV (ca. 1820),19th,Sculpture,North America,228500
347,Portrait of a young Eritrean  (1930s),20th,Painting,Europe,1525.5
348,Inca Ponchito (1400-1532),15th,Textile Arts,North America,32000
349,French 18th Century Pastel Portrait (ca. Late 18th/Early 19th Century),18th,"Drawing, Collage or other Work on Paper",Europe,1782
350,Woman in the Wind  (1988),20th,"Drawing, Collage or other Work on Paper",Europe,678
351,Female Figure (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,305.1
352,Anfora (18th Century),18th,"Drawing, Collage or other Work on Paper",Europe,1423.8
353,Landscape (20th Century),20th,Print,Europe,316.4
354,"Bohus Granite Crater Vase, German or Swedish, around 1830 (ca. 1830)",19th,Design/Decorative Art,Europe,71280
355,The Sleeping Woman (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,339
356,Man Machine ( Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,350.3
357,Giovanni Fontana (16th Century),NA,"Drawing, Collage or other Work on Paper",Europe,3366
358,The Posing Nude (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,305.1
359,Giovanni Fontana (16th Century),NA,"Drawing, Collage or other Work on Paper",Europe,3366
360,The Posing Nude (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,339
361,Cityscape with Statue (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,248.6
362,Figure (Mid-20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,203.4
363,The Dog (Late 19th Century),19th,Painting,Europe,1627.2
364,Corpus (ca. 1575),16th,Sculpture,North America,125000
365,17TH-CENTURY VENETIAN FIGURAL TORCHÈRES (1600-1630),17th,Sculpture,North America,348500
366,Original Ancient Quirinal Palace Planimetry  (17th Century),17th,"Drawing, Collage or other Work on Paper",Europe,1525.5
367,"'Historic English Chapel Interior,' by Unknown, Watercolor Painting  (19th Century)",19th,Painting,North America,500
368,The  Head in Colors (1970),20th,"Drawing, Collage or other Work on Paper",Europe,293.8
369,Pair of Royal Portraits of the Duke and Duchess of Burgundy (18th century),18th,Painting,North America,88500
370,Woman with Child (Mid 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,237.3
371,The Sleeping Nude (Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,297
372,Sketches (Mid-20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,282.5
373,The Reading Woman (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,339
374,"Large Black, Red, Orange, and White Abstract Expressionist Painting  (Mid-20th Century)",20th,Painting,North America,1200
375,The Sleeping Nude (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,339
376,Venice (Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,384.2
377,Nude from the back  (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,203.4
378,Sketch Of Nude Man (Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,350.3
379,"Modern Blue, Peach, & White Abstract Color Flow Painting (20th Century)",20th,Painting,North America,750
380,Victorian Cast Iron and Wood Outdoor Side Table (1890),19th,Design/Decorative Art,Europe,1782
381,Still life (Early 20th Century),20th,Painting,Europe,960.5
382,"Inuit Toggling Harpoon and Whalebone Adze, Inuit People, Alaska. (before 1947)",20th,Sculpture,Europe,3118.5
383,Glücksburg Castle near Flensburg (Early 20th Century),20th,Painting,Europe,813.6
384,Japanese Mountain/Lake Scene  (20th Century ),20th,Painting,North America,300
385,Interior During a Concert (Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,259.9
386,Italian Vintage Brutalist Sculpture in Wrought Iron and Wood (ca. 1950),20th,Design/Decorative Art,Europe,19800
387,Italian Vintage Brutalist Sculpture in Wrought Iron and Wood (ca. 1950),20th,Design/Decorative Art,Europe,19800
388,Abstract Composition (Late 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,689.3
389,Selection of Chinese Opium Collectables (19th C),19th,Other,Europe,5306.4
390,Castel view on a lake (Late 19th century),19th,Painting,Europe,734.5
391,Chinese Qing Dynasty Wood Sculpture (ca. 1800),19th,Sculpture,North America,3300
392,Portrait of Giuseppe Garibaldi (Late 19th Century),19th,Painting,Europe,2429.5
393,Japanese Antique Scroll – Mystic Mountain (19th Century ),19th,"Drawing, Collage or other Work on Paper",North America,600
394,Abstract Composition (Mid-20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,587.6
395,Antique Chinese Ceremonial Processional  (Late 19th Century ),19th,Painting,North America,395
396,Selection of Chinese Antique Opium Boxes  (19th C),19th,Other,Europe,13087.8
397,The sketch (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,508.5
398,II Patriotismo (20th Century),20th,Print,North America,120
399,The Secret Encounter  (ca. 1871),19th,Painting,North America,2500
400,The Garden Of Eden (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,452
401,The Men in the Factory (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,305.1
402,A Young Oriental Woman Looking in the Mirror (19th Century),19th,Painting,Europe,1186.5
403,Pre Columbian Nicoya Peninsula Watershed Burial Vessels (ca. 200),3rd,Sculpture,North America,285
404,The Friars (20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,293.8
405,Sketch of a Hand   (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,305.1
406,Sunset in Northern Europe City (Late 19th century),19th,Painting,Europe,734.5
407,19th Century Great English Marine Sailboat Oil Painting (ca. 1850),19th,Painting,North America,400
408,Garden (mid-20th Century),NA,"Drawing, Collage or other Work on Paper",Europe,282.5
409,Georges Henri Tribout (1940),20th,"Drawing, Collage or other Work on Paper",Europe,452
410,Selection of Antique Chinese Opium Lamps. (19th C),19th,Other,Europe,2821.5
411,Antique Korean Taoist Temple Scroll Painting (19th Century ),19th,Painting,North America,2800
412,Japanese Meiji Period Cloisonne Bronze Censer (ca. 1890),19th,Design/Decorative Art,North America,1200
413,Antique Oval Realistic Portrait of a Young Lady (Early 20th Century),20th,Painting,North America,1200
414,The Garden of Delights (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,452
415,"Selection of Inuit Needelcase and two carved Toggles, Inuit People, Alaska. (before 1947)",20th,Design/Decorative Art,Europe,3118.5
416,Japanese Meiji Period Cloisonne Bronze Censer (ca. 1890),19th,Design/Decorative Art,North America,1200
417,B&W Photography of European Bridge (20th Century ),20th,Photography,North America,250
418,Chinese Mountain Scene (Late 19th Century ),19th,Painting,North America,1200
419,Rome with St. Peter (19th Century),19th,Painting,Europe,2825
420,The Garden Of Eden (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,452
421,African dance mask (Unknown),NA,Other,North America,2500
422,19th C Armadillo Mount in sitting position on wooden base (before 1947),20th,Other,Europe,891
423,Study For An Arm (Mid-20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,305.1
424,View of St. Mark Square (Late 18th century),18th,Painting,Europe,18758
425,Tension (Late 20th Century),20th,Print,Europe,406.8
426,Blue and Gray Toned Abstract Figurative Mixed Media Stitched Linen Painting (20th Century),20th,Mixed Media,North America,3500
427,African dance mask (Unknown),NA,Other,North America,2500
428,Portrait of a Woman (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,406.8
429,B&W Photography of Golden Gate Bridge (20th Century ),20th,Photography,North America,250
430,Han Dynasty Polychromed Horse and Rider (ca. 100),2nd,Sculpture,North America,5400
431,Animals in the fields (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,452
432,The Lady and the Cats (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,203.4
433,The Garden of Delights (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,452
434,"Selection of Inuit Needelcase and two carved Toggles, Inuit People, Alaska. (before 1947)",20th,Design/Decorative Art,Europe,3118.5
435,The Men in the Factory (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,305.1
436,French Constructivist Geometric Abstract (ca. Mid 20th Century ),20th,Painting,North America,850
437,Pair of Architectures with Ruins (19th Century),19th,Painting,Europe,2429.5
438,Le Prince Alexandre Bibesco (Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,406.8
439,Han Dynasty Pottery Horse and Rider (ca. 1),NA,Sculpture,North America,3600
440,The Seated Woman (Mid 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,666.7
441,Qing Dynasty Chinese Reverse Glass Painting (ca. 1850),19th,Painting,North America,38850
442,Portrait of Child on a Car  (19th Century),19th,Painting,Europe,2429.5
443,The Statue In Stained Glasses ( Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,452
444,View of  Riva degli Schiavoni (Late 18th century),18th,Painting,Europe,14690
445,La Contesse de Noailles (Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,406.8
446,The Sun and the Earth (Early 20th century),20th,"Drawing, Collage or other Work on Paper",Europe,452
447,Portrait of Pierre-Jean de Béranger (Early 19th Century),19th,"Drawing, Collage or other Work on Paper",Europe,587.6
448,Pair of Han Dynasty pottery Horses and Equestrian Riders (ca. 1100 BCE),11th,Sculpture,North America,11000
449,Daily Life Beach Color Photograph of a Smiling Woman in a Hammock with a Pig  (Late 20th Century),20th,Photography,North America,350
450,Unknown (1972),20th,Painting,North America,800
451,Lady Profile (ca. 2000),21st,"Drawing, Collage or other Work on Paper",North America,300
452,Abstract composition (Late 20th century),20th,Print,Europe,203.4
453,Pastel-Toned Floral Still Life of Chrysanthemums in a Chinoiserie Ginger Jar (Mid-20th Century),20th,Painting,North America,750
454,"Mabea Mother and Child Sculpture, Provenance P.Ratton (20th Century)",20th,Sculpture,Europe,24651
455,Small Kongo Colonial Horse whip (20th C),20th,Other,Europe,445.5
456,Untitled (ca. 1860),19th,"Drawing, Collage or other Work on Paper",North America,2000
457,Tang Dynasty Paited Terracotta Female Attendant (ca. 600),7th,Sculpture,North America,1800
458,Ships in the Gulf of Naples (Mid-20th Century),20th,Painting,Europe,757.1
459,Antique 19th C Victorian Diorama of 4 Ruff's (Philomachus pugnax) (before 1947),20th,Design/Decorative Art,Europe,7722
460,Historic Sailing Ship on Water (19th Century ),19th,Painting,North America,5000
461,Ming Dynasty Bronze Luohan with Deer (ca. 1500),16th,Sculpture,North America,2000
462,B&W Photography of a Peruvian Lady (20th Century ),20th,Photography,North America,250
463,African dance mask (Unknown),NA,Other,North America,900
464,Marina (20th century),20th,Painting,Europe,2178
465,Decorated Wooden Backrest sculptured in one piece. (1930s),20th,Design/Decorative Art,Europe,1579.05
466,African dance mask (Unknown),NA,Other,North America,1500
467,"'Chinese Scroll – Reddish Ume Tree,' by Unknown, Watercolor Silk Painting  (Late 19th Century)",19th,"Drawing, Collage or other Work on Paper",North America,300
468,Antique Chinese Boxes in metal and ivory with a tobacco pouch (19th C),19th,Other,Europe,6637.95
469,Antique Rare Tibetan Thankga Tonka Buddhist Altar Scroll (Early -Mid 19th Century),19th,Painting,North America,750
470,The Woman by The Window (Early 20th Century),20th,"Drawing, Collage or other Work on Paper",Europe,452
471,Antique 19th C Victorian Diorama of Merlin (Falco columbarius) (19th C),19th,Design/Decorative Art,Europe,1287
472,Untitled (ca. 1860),19th,"Drawing, Collage or other Work on Paper",North America,3500
473,"""Chinese Antique Scroll with Butterflies & Flowers,"" by Unknown, Silk Painting (19th Century)",19th,"Drawing, Collage or other Work on Paper",North America,650
474,Untitled (ca. 1860),19th,"Drawing, Collage or other Work on Paper",North America,3500
475,Untitled (ca. 1860),19th,"Drawing, Collage or other Work on Paper",North America,3800
476,Untitled (ca. 1860),19th,"Drawing, Collage or other Work on Paper",North America,4000
477,"Antique 19th C Victorian Diorama of 40 taxidermy tropical birds, labellled by W.E.Dawes (19th C)",19th,Other,Europe,10890
478,"'Barn with Boat Dock,' by Unknown, Ink and Watercolor Painting (Late 20th Century )",20th,"Drawing, Collage or other Work on Paper",North America,500
479,Untitled (ca. 1860),19th,"Drawing, Collage or other Work on Paper",North America,2000
480,Butteri in the Maremma (early 20th Century),20th,Painting,Europe,813.6
481,"Two Inuit Marine Ivory charms, Inuit People, Alaska. (before 1947)",20th,Sculpture,Europe,2752.2
482,Kilim (c. 1860),19th,Textile Arts,North America,8500
483,Kilim (ca. 1860),19th,Textile Arts,North America,12500
484,Steve McQueen (2015),21st,Photography,Europe,297
485,Steve McQueen (2015),21st,Photography,Europe,297
486,Steve McQueen (2015),21st,Photography,Europe,297
487,Steve McQueen (2015),21st,Photography,Europe,297
488,Steve McQueen (2015),21st,Photography,Europe,297
489,(still life with fruit) (20th Century),20th,Painting,North America,500
490,Steve McQueen (2015),21st,Photography,Europe,297
491,Steve McQueen (2015),21st,Photography,Europe,297
492,Tang Dynasty Museum Quality Tl Tested Terracotta Fat Lady Figure (ca. 800),9th,Sculpture,North America,14000
493,Gashgai Runner (1914),20th,Textile Arts,North America,18500
494,Steve McQueen (2015),21st,Photography,Europe,297
495,Steve McQueen (2015),21st,Photography,Europe,297
496,Steve McQueen (2015),21st,Photography,Europe,297
497,Steve McQueen (2015),21st,Photography,Europe,297
498,Steve McQueen (2015),21st,Photography,Europe,297
499,Steve McQueen (2015),21st,Photography,Europe,297
500,Steve McQueen (2015),21st,Photography,Europe,297
501,Steve McQueen (2015),21st,Photography,Europe,297
502,(woman at easel) (20th Century),20th,Painting,North America,1800
503,(woman at easel) (20th Century),20th,Painting,North America,1800
504,"Westerne Osprey or Fish Hawk (Pandion haliaetus) mounted in 1956.II/A dd 10/03/2017, former collection of Mr.Ramon Pons Oliveras (before 1947)",20th,Other,Europe,2826.45
505,"Allegory with Parrot, Capital, Amphora and Drapes (Late 19th century)",19th,Painting,Europe,1627.2
506,Khmer Bronze Maitreya Buddha 17th/18th Century with Writings (ca. 1700),18th,Sculpture,North America,1100
507,Steve McQueen (2015),21st,Photography,Europe,297
508,Lidded Glass Bowl (ca. 1910),20th,Design/Decorative Art,North America,360
509,Steve McQueen (2015),21st,Photography,Europe,297
510,Steve McQueen (2015),21st,Photography,Europe,297
511,Steve McQueen (2015),21st,Photography,Europe,297
512,(birds and foliage) (ca. 1900),20th,Painting,North America,2100
513,Steve McQueen (2015),21st,Photography,Europe,297
514,Steve McQueen (2015),21st,Photography,Europe,297
515,"Anatomical Didactic Model of a Torso with Removable Organs, developed by Franz Jozef Steger and Prof. Wilhelm His (19th C )",19th,Sculpture,Europe,5841
516,Steve McQueen (2015),21st,Photography,Europe,297
517,Steve McQueen (2015),21st,Photography,Europe,297
518,Steve McQueen (2015),21st,Photography,Europe,297
519,Steve McQueen (2015),21st,Photography,Europe,297
520,Steve McQueen (2015),21st,Photography,Europe,297
521,Steve McQueen (2015),21st,Photography,Europe,297
522,Steve McQueen (2015),21st,Photography,Europe,297
523,Steve McQueen (2015),21st,Photography,Europe,297
524,Steve McQueen (2015),21st,Photography,Europe,297
525,Steve McQueen (2015),21st,Photography,Europe,297
526,Steve McQueen (2015),21st,Photography,Europe,297
527,Steve McQueen (2015),21st,Photography,Europe,297
528,Steve McQueen (2015),21st,Photography,Europe,297
529,"Selection of Songy Kifwebe mask and Nkisi statue, Songye people, DRC. (20th C)",20th,Sculpture,Europe,21631.5
530,Khmer Sandstone Buddha Shiva Head 11th Century (ca. 1000),10th,Sculpture,North America,4400
531,The Gulf and the Bay of Pozzuoli (Early 19th Century),19th,Painting,Europe,1469
532,Steve McQueen (2015),21st,Photography,Europe,297
533,Steve McQueen (2015),21st,Photography,Europe,297
534,Checkers Game Board (1900-1920),NA,Painting,North America,3000
535,Steve McQueen (2015),21st,Photography,Europe,297
536,Steve McQueen (2015),21st,Photography,Europe,297
537,Steve McQueen (2015),21st,Photography,Europe,297
538,Steve McQueen (2015),21st,Photography,Europe,297
539,Pair of maritime ivory statues (20th C),20th,Sculpture,Europe,3955.05
540,Japanese Screen-Noh Dance on Stage (Late 18th to Early 19th Century ),18th,"Drawing, Collage or other Work on Paper",North America,3850
541,(still life with fan) (20th Century),20th,Painting,North America,1800
542,Vintage Toucans Taxidermy Selection in Designer Display Cases. (before 1947),20th,Other,Europe,1732.5
543,Ensemble of Indian Terracotta Figures with Linnen Clothing. (1850-1880),19th,Sculpture,Europe,1485
544,1950s slate stone wall reliëf sculpture in the manner of Raoul Ubac (ca. 1954),NA,Sculpture,Europe,2376
545,Mills Game Board (Early 20th century),20th,Painting,North America,4000
546,Vintage Toucans Taxidermy Selection in Designer Display Cases. (before 1947),20th,Other,Europe,1732.5
547,Parcheesi Game Board (Late 19th century),19th,Painting,North America,4000
548,Checkers Game Board (Late 19th century),19th,Painting,North America,4000
549,Victorian Diorama of 12 tropical birds by James Gardner Sr 1870. (19th C),19th,Design/Decorative Art,Europe,1970.1
550,"Inuit People, Alaska, Set of 3 Carved Walrus Toggles (19th Century )",19th,Sculpture,Europe,2346.3
551,"View of the Gulf of Naples, with Vesuvius on the background (19th Century)",19th,Painting,Europe,1412.5
552,"Yombe Power Figure completely covered with original fabrics, Yombe People, DRC. (Early 20th C)",20th,Sculpture,Europe,8662.5
553,Selection of Antique Vietnamese Water Pipes. (ca. 1850),19th,Other,Europe,4940.1
554,"19th C Oakwood Counter top Cigar store Indian statue, Netherlands. (19th C)",19th,Sculpture,Europe,5538.06
555,Lake landscape (First half of 20th century),20th,Painting,Europe,1782
556,L'Ombra del Gigante (Mid 20th Century),20th,Photography,Europe,141.25
557,Untitled (Flowers in a Vase) (1930-1979),20th,Print,North America,350
558,Mills Game Board (Late 19th century),19th,Painting,North America,4000
559,Passion (1970),20th,Print,North America,400
560,Eight Antique Chinese Tobacco Pipe Holders with Antrophomorphic Subject (19th C),19th,Sculpture,Europe,1405.8
561,Mid Century Modern Brutalist Welded Expressionist Sculpture After Paul Evans (Mid-20th Century),20th,Sculpture,North America,2200
562,Piazza di Spagna (19th Century),19th,Photography,Europe,305.1
563,"Yombe Power Figure completely covered with original fabrics, Yombe People, DRC. (Early 20th C)",20th,Sculpture,Europe,8662.5
564,Untitled (Undated),NA,Sculpture,North America,500
565,Checkers Game Board (Late 19th century),19th,Painting,North America,4000
566,"Inuit Model Kayak, wooden frame covered with seal skin, lined with bone, attributes complete. (circa 1930)",20th,Other,Europe,4900.5
567,"Early Ming Dynasty Chinese Buddha Statue, circa 14th Century (1400-1499)",15th,Sculpture,North America,5400
568,"Wind Wall ""Roe deers in a bamboo forest"" (1921)",20th,Design/Decorative Art,North America,15500
569,"Hemba Commemorative Ancestor Singit Statue of a Chief, Hemba People, DRC. (First half 20th C)",20th,Sculpture,Europe,9801
570,Checkers Game Board (Early 20th Century),20th,Painting,North America,3500
571,"Luba People, DRC, Chief's ivory Breast Plate. (20th C)",20th,Sculpture,Europe,2371.05
572,Charles Emmanuel Serret 'FR 1824-1900' Two Drawings of Children Playing (ca. 1870),19th,"Drawing, Collage or other Work on Paper",North America,1100
573,Untitled (End of 20th century-France),NA,Sculpture,Europe,2970
574,Hadji Jalili Tabriz (late 19th c.),19th,Textile Arts,North America,75000
575,"Short-Toed Snake Eagle (Circaetus gallicus) on a Tree Stump,1908.Species preconvention 01/06/1947 can be commercialised in accordance with rule n°338/97 CE dated 09/12/1996. (before 1947)",20th,Other,Europe,2178
576,"Mambila Tadep Male Guardian Figure with metal Pegs contouring face and body, Mambila People, Nigeria (First half 20th C )",20th,Sculpture,Europe,9702
577,"Thai Southeast Asian Bronze Seated Buddha, Circa 17th Century (ca. 1600)",17th,Sculpture,North America,4000
578,"19th C, Religious, Statue of the Hindu Monkey-God Hanuman, Nepal, Bronze (19th Century)",19th,Sculpture,Europe,3861
579,Solitaire Game Board (Late 19th century),19th,Painting,North America,4000
580,Polychromed wooden sculpture of Christ with the Crown of Thorns (Late 16th C),16th,Sculpture,Europe,5544
581,"Yombe People, DRC, Chief Staff, ""Mwaala"" (19th C)",19th,Sculpture,Europe,3955.05
582,"Short-Toed Snake Eagle (Circaetus gallicus) on a Tree Stump,1908.Species preconvention 01/06/1947 can be commercialised in accordance with rule n°338/97 CE dated 09/12/1996. (before 1947)",20th,Other,Europe,2178
583,Vintage Toucans Taxidermy Selection in Designer Display Cases. (before 1947),20th,Design/Decorative Art,Europe,1732.5
584,"Selection of Dondo Spoon, Flywhisk handle and Male Statue, Dondo people DRC. (Second half 19th C)",19th,Sculpture,Europe,13503.6
585,White-Tailed Eagle (Haliaeetus albicilla) taxidermy mounted on a branch in 1959. Cites I/A dd 14/03/2017 (ca. 1959),20th,Mixed Media,Europe,2178
586,RUSSIAN MALACHITE AND BRONZE INKWELL (ca. 1890),19th,Design/Decorative Art,North America,24850
587,"Portrait of a monk (End of 20th century, Mount Athos, Greece.)",20th,Sculpture,Europe,2970
588,"Antique 19th C Polychromed Diorama with 12 taxidermy tropical birds, variously perched on branches, set within its original wall case. (before 1947)",20th,Mixed Media,Europe,2079
589,"17th C, Baroque, Biblical, Jesus and the Samaritan Woman by the Well (17th C)",17th,Painting,Europe,2965.05
590,Star of David Bronze Seal (18th Century AD to 19th Century AD),19th,Sculpture,North America,1500
591,Checkers Game Board with Decorative Border (ca. 1900),20th,Painting,North America,3500
592,"Tiv People, Nigeria, Copper Alloy Staff Finial with two identical sculptured heads  (First half 20th C)",20th,Design/Decorative Art,Europe,589.05
593,Parcheesi Game Board (Late 19th to early 20th century),19th,Painting,North America,4500
594,Small Alligator with Umbrella and Travel Case under a Glass dome on an ebonised base (21th C),21st,Other,Europe,2178
595,Victorian Dome of 2 Taxidermy Male Pharomachrus Mocinna 'Resplendent Quetzal' (19th Century ),19th,Other,Europe,6138
596,"Giant Anteater (Myrmecophaga tridactyla),II/B-mounted 1981 (before 1947)",20th,Design/Decorative Art,Europe,9504
597,Checkers Game Board With Red Borders (Early 20th Century),20th,Painting,North America,3500
598,"Dayak People,Borneo.Ceremonial Decorated Dog Skull. (First half 20th C)",20th,Other,Europe,1267.2
599,Solitaire Game Board with Legs and Secret Drawer (Late 19th century),19th,Sculpture,North America,3500
600,United Lines (2021),21st,Mixed Media,North America,18000
601,"Two Anthropomorpic Pipe Bowls of the Yaka, DCR (First half 20 th C)",20th,Design/Decorative Art,Europe,2366.1
602,"African Hippopotamus (Hippopotamus amphibius),II/B ,Shoulder mount-original Teeth (20th Century )",20th,Other,Europe,6870.6
603,"Meisen textile pattern, Japanese, Taisho period (1923)",20th,"Drawing, Collage or other Work on Paper",Europe,297
604,"Mbole People, DRC. Chief Scepters Collection made of Palmtree Leaf Midribs (19th Century)",19th,Design/Decorative Art,Europe,3564
605,Papier Maché Lion's Head with real teeth for Taxidermy Use (19th C),19th,Sculpture,Europe,2965.05
606,"18th C, Flemish School, Madonna and Child in a Wooden Shrine (19th C) with Decorated Doors. (18th Century)",18th,Sculpture,Europe,3613.5
607,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
608,Expressionist Wood Sculpture (1925-1927),20th,Sculpture,Europe,1782
609,Taxidermy Composition of Exotic Birds in a large Bowed Glass Case (20th Century ),20th,Design/Decorative Art,Europe,9850.5
610,Subliminal Lines (2020),21st,Mixed Media,North America,22000
611,Selection of 6 Authentic Ethnic Cameroon Headdresses and Ceremonial Hats (First Half of 20th Century ),NA,Design/Decorative Art,Europe,5316.3
612,"Burmester curves in a frame, Japanese, Showa period (ca. 1920)",20th,Other,Europe,396
613,Subliminal Lines (2022),21st,Mixed Media,North America,15000
614,The Hunter (1986),NA,Print,North America,1500
615,"Katagami (stencil) for a summer kimono, Japanese, Showa period (1960-1969)",20th,Other,Europe,594
616,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
617,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
618,"Katagami (stencil) for a summer kimono pattern, Japanese, Showa period (1960-1969)",20th,Other,Europe,594
619,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
620,"Ise katagami (stencil),broad stripes pattern, Japanese, Meiji period (1868-1912)",19th,Other,Europe,445.5
621,Selection of 6 Authentic Ethnic Cameroon Headdresses and Ceremonial Hats (First Half of 20th Century ),NA,Design/Decorative Art,Europe,5316.3
622,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
623,Silver Lines at Sunset (2021),21st,Mixed Media,North America,18000
624,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
625,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
626,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
627,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
628,"Fish trap, Japanese, early Showa period (ca. 1920)",20th,Other,Europe,445.5
629,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
630,Canadian Brothers (1982),NA,Print,North America,1500
631,Monumental early 19th C Clock on a Polychromed pannel with hands in golden metal fixed on a tin sheet (Early 19th Century ),19th,Design/Decorative Art,Europe,4900.5
632,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
633,"Berliner Photothek: “Blick auf Gropius-Bauhaus Bauten, Dessau” (Views of the Gropius-Bauhaus Building, Dessau) (ca. 1926)",20th,Photography,North America,5000
634,"Katagami (stencil) for a summer kimono, striped pattern, Japanese, Showa period (1960-1969)",20th,Other,Europe,594
635,Woman Life Freedom (2022),21st,Print,North America,1600
636,"Berliner Photothek: “Blick auf Gropius-Bauhaus Bauten, Dessau” (Views of the Gropius-Bauhaus Building, Dessau) (ca. 1926)",20th,Photography,North America,5000
637,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
638,"Ise katagami (stencil),broad stripes pattern, Japanese, Meiji period (1868-1912)",19th,Other,Europe,445.5
639,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
640,"Ise katagami (stencil), rhombus pattern, Japanese, Showa period (1960-1969)",20th,Other,Europe,445.5
641,"17th C, Baroque, Flemish School, Religious, Very Finely Carved Crucified Christ in Ivory (17th C)",17th,Sculpture,Europe,1975.05
642,My America (2020),21st,Painting,North America,65000
643,Taxidermy of Two Lovely Pink Flamingos  (before 1947),20th,Design/Decorative Art,Europe,5692.5
644,"Female Casqued Wattled Hornbill, Ceratogymna, NL (before 1947)",20th,Design/Decorative Art,Europe,1371.15
645,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
646,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
647,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
648,"A pair of Antique 19th C French Dioramas of taxidermy birds and animals ,variously perched on branches and groundwork set within their original ebonised display cabinets. (19th C )",19th,Mixed Media,Europe,42768
649,Abundant Line (2020),21st,Mixed Media,North America,18000
650,"Ceremonial Monkey Figure on a Snailshell, from old German Collection, Bulu People, Cameroon (First half 20th)",20th,Sculpture,Europe,4252.05
651,"Ngbaka People,DRC.Ngbaka Face Mask with dotted Polychrome. (19th C)",19th,Sculpture,Europe,3910.5
652,Absolute Line (2021),21st,Mixed Media,North America,22000
653,"Lega People, DRC, Three rare Ivory Ceremonial Hammers  (20th Century)",20th,Sculpture,Europe,3564
654,"Luba People,DRC.Female Caryatide Stool with use patina. (20th century )",20th,Sculpture,Europe,9702
655,"Lovale People, Zambia, Female Mask ""Mwana Pwevo"" (ca. 1900)",20th,Sculpture,Europe,5841
656,Rare pair of very old Yoruba Ibeji Figures (First half 20th),20th,Sculpture,Europe,5247
657,Set of 3 wooden neckrests from Somalia & Uganda  (First half 20th C),20th,Sculpture,Europe,5925.15
658,"Set of 7 tribal knives, DRC, Shi & Ngombe People (ca. 19330)",20th,Design/Decorative Art,Europe,8207.1
659,"Very elegant Tokotoko,carved Maori Walking or Orators stick (First half 20th)",20th,Sculpture,Europe,2326.5
660,"United Kingdom, 1880, Victorian Glass Dome with 36 Exotic Birds (1880)",19th,Design/Decorative Art,Europe,6529.05
661,Nude is White is Black is Anonymous...,NA,Photography,North America,1000
